2011 전체,2011 남자,2011 여자,2011 20대,2011 30대,2011 40대,2011 50대,2011 60대이상
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
38.5,42.6,34.6,37.4,49.7,44.6,38.6,24.6
40.7,37.3,43.9,25.0,32.3,37.3,45.5,57.2
11.7,10.7,12.7,14.3,12.3,10.5,8.6,13.3
2.4,2.4,2.4,12.3,0.9,0.4,0.0,0.5
0.8,0.7,0.8,1.6,1.2,0.5,1.0,0.0
2.6,2.7,2.4,4.5,1.7,2.2,1.7,3.0
0.5,0.3,0.7,1.5,0.2,0.2,0.8,0.0
1.4,1.5,1.3,2.1,1.3,2.4,1.0,0.2
0.7,0.6,0.8,1.3,0.2,1.3,0.7,0.2
0.8,1.2,0.5,0.0,0.2,0.6,2.2,0.9
