2013 전체,2013 남자,2013 여자,2013 20대,2013 30대,2013 40대,2013 50대,2013 60대이상
1393.0,712.0,681.0,186.0,231.0,280.0,320.0,376.0
47.5,52.4,42.5,42.1,61.5,57.4,53.3,29.4
33.1,30.6,35.7,24.0,18.4,26.5,28.9,55.0
10.1,8.8,11.4,16.7,10.6,8.0,9.5,8.6
1.6,1.5,1.8,6.2,0.6,3.2,0.2,0.0
0.8,0.7,1.0,0.6,2.1,0.8,0.1,0.7
2.3,1.9,2.8,2.3,2.1,1.5,3.9,1.8
1.3,1.1,1.4,2.4,0.8,0.1,1.7,1.5
1.1,1.5,0.6,3.5,0.6,0.7,1.0,0.4
0.8,0.7,1.0,2.1,0.9,1.3,0.4,0.3
0.4,0.2,0.5,0.0,0.3,0.4,0.8,0.2
0.9,0.6,1.3,0.0,2.2,0.0,0.2,2.0
